time	TriggeredState-name	TriggeredState-state	[00].VehicleUpdate-pos.001	[00].VehicleUpdate-pos.002	[00].VehicleUpdate-pos.003	[00].VehicleUpdate-pos.004	[00].VehicleUpdate-pos.005	[00].VehicleUpdate-pos.006	[00].VehicleUpdate-speed.001	[00].VehicleUpdate-speed.002	[00].VehicleUpdate-speed.003	[00].VehicleUpdate-speed.004	[00].VehicleUpdate-speed.005	[00].VehicleUpdate-speed.006	[00].VehicleUpdate-accel.001	[00].VehicleUpdate-accel.002	[00].VehicleUpdate-accel.003	[00].VehicleUpdate-accel.004	[00].VehicleUpdate-accel.005	[00].VehicleUpdate-accel.006	[00].VehicleUpdate-consumption	[00].VehicleUpdate-accelerator	[00].VehicleUpdate-brake	Last_TimeMarker
11.95	speed_limit_30_start	0	-1724.87205018	7706.83852185	-0.0226191932127	-1.57079860741	-0.00310988779589	-2.55758174215e-07	9.16794967651	-5.0185371947e-06	-0.0285169631243	-4.02749446948e-06	3.96929390263e-05	2.37359259359e-07	0.00401388201863	-3.10733230435e-05	-2.27473356063e-05	2.49645154327e-06	8.50425237786e-07	2.50607972703e-05	1.62265308745e-07	0.0524004288018	0	
12	speed_limit_30_start	0	-1724.87205118	7706.39845447	-0.0226166900064	-1.57079879746	-0.0031080170081	-2.44132126976e-07	9.16813850403	-4.85142527396e-06	-0.0285001788288	-3.87933960155e-06	3.77575561288e-05	2.58371812834e-07	0.00370022677816	-2.96224006888e-05	-1.03353954728e-06	6.71830093779e-06	1.49253746713e-05	-4.53551865576e-06	1.61730739023e-07	0.0522229261696	0	
12.05	speed_limit_30_start	0	-1724.87205226	7705.95837835	-0.0226143057867	-1.57079898011	-0.00310623546021	-2.31750398755e-07	9.16831207275	-4.65744824396e-06	-0.0284841619432	-3.72165209228e-06	3.58521465387e-05	2.33051181908e-07	0.00338843278587	-2.8677217415e-05	-2.06117783819e-06	3.89483602703e-06	-1.35903637783e-05	-1.02247204268e-05	1.6122490365e-07	0.0520550347865	0	
12.1	speed_limit_30_start	0	-1724.87205342	7705.51829426	-0.0226120334482	-1.57079915428	-0.00310453824358	-2.17732116943e-07	9.16846942902	-4.42791179012e-06	-0.0284687764943	-3.54450594386e-06	3.41357008438e-05	1.33312198614e-07	0.00310871121474	-2.18931181735e-05	-4.95856147609e-06	3.35992331202e-06	-3.21400802932e-05	-3.91692738049e-05	1.60750659006e-07	0.051897674799	0	
12.15	speed_limit_30_start	0	-1724.87205485	7705.00943804	-0.0226095518013	-1.57079934439	-0.00310268404246	-2.02667404308e-07	9.168633461	-4.14431679019e-06	-0.0284519996494	-3.29822159983e-06	3.22221203533e-05	2.82859588197e-07	0.00271532870829	-2.35741590586e-05	9.64989703789e-06	7.15771147952e-06	1.71789088199e-06	1.71071787918e-05	1.60299094887e-07	0.0517478212714	0	
12.2	speed_limit_30_start	0	-1724.87205617	7704.56933918	-0.0226075200529	-1.57079949802	-0.00310116646856	-1.86862035315e-07	9.16876029968	-3.8912526179e-06	-0.0284382551908	-3.08454968945e-06	3.05851535813e-05	2.59164806948e-07	0.002439544769	-1.76541107066e-05	-1.06700281322e-05	7.3310488915e-06	-6.05854756941e-06	-4.67641548312e-05	1.59872641348e-07	0.0516064465046	0	
12.25	speed_limit_30_start	0	-1724.87205756	7704.1292345	-0.0226055903982	-1.57079964137	-0.00309972562598	-1.72325867924e-07	9.1688747406	-3.60985632142e-06	-0.0284251701087	-2.87196417048e-06	2.89529052679e-05	3.77022985276e-07	0.00220752810128	-1.5078024262e-05	-5.98576389166e-06	6.50034826322e-06	-9.78533807938e-06	-4.42701912107e-06	1.59470445737e-07	0.0514731630683	0	
12.3	speed_limit_30_start	0	-1724.87205902	7703.68912461	-0.022603759777	-1.57079977402	-0.00309835895325	-1.57635953856e-07	9.16897678375	-3.34241894961e-06	-0.0284127295017	-2.65753806161e-06	2.73939767794e-05	2.20830401076e-07	0.001987375319	-1.16825485748e-05	1.28064675664e-06	5.029814929e-06	-3.01318850688e-05	5.02396505908e-06	1.59091683827e-07	0.051347695291	0	
12.35	speed_limit_30_start	0	-1724.8720608	7703.17107268	-0.0226017291699	-1.57079991629	-0.00309684290044	-1.3921855768e-07	9.16908168793	-2.98928080156e-06	-0.0283989049494	-2.39016230807e-06	2.58780273725e-05	1.10446947588e-07	0.00166727404576	-1.09149013952e-05	1.69086399637e-06	3.68955511476e-06	7.21247533875e-06	-2.43413669523e-05	1.58735474542e-07	0.0512296929955	0	
12.4	speed_limit_30_start	0	-1724.87206237	7702.73095338	-0.022600100503	-1.57080002527	-0.00309562735062	-1.25541120087e-07	9.16915893555	-2.72249849331e-06	-0.0283878296614	-2.14648412111e-06	2.43751674134e-05	3.95477059101e-07	0.00146011251491	-1.02560643427e-05	-3.03639421873e-06	4.82792120238e-06	-9.2239379228e-06	1.26241720864e-05	1.58399927841e-07	0.0511186346412	0	
12.45	speed_limit_30_start	0	-1724.87206399	7702.29083057	-0.0225985612737	-1.57080012352	-0.0030944789923	-1.09750856415e-07	9.16922664642	-2.46820559369e-06	-0.0283772647381	-1.9286233055e-06	2.30169243878e-05	4.0791809397e-07	0.00126923446078	-1.29601803565e-05	5.61592014492e-06	9.87370458461e-06	-1.51169761011e-05	8.63780223881e-06	1.58083793167e-07	0.0510140433908	0	
12.5	speed_limit_30_start	0	-1724.87206566	7701.85070473	-0.0225971059193	-1.57080021071	-0.00309339320098	-9.56368969477e-08	9.16928482056	-2.17566775973e-06	-0.0283673349768	-1.72080126504e-06	2.17096749111e-05	1.61517164088e-07	0.00109987857286	-4.95731865158e-06	4.88709929414e-07	5.34491846338e-06	-1.71042975126e-05	-1.21892844618e-05	1.57789102673e-07	0.0509165786207	0	
